label	text
POSITIVE	In addition, transplastomic microalgae were engineered for the expression of phosphite dehydrogenase D from Pseudomonas stutzeri, allowing for growth in non-axenic media by selective phosphite nutrition.
NEGATIVE	While Micrococcus luteus established a stable microbial-skin tissue co-culture, Pseudomonas oleovorans maintained slow continuous growth over the 8-day cultivation period.
POSITIVE	Bartonella seropositivity was 46.9%, including 35.5% for Bartonella henselae, 45% for Bartonella clarridgeiae and 32.2% for Bartonella vinsonii subsp.
POSITIVE	Probing the surface ultrastructure of Brevibacillus laterosporus using atomic force microscopy.
NEGATIVE	The aim of this study was to characterize a new simple and inexpensive method using two types of polyethersulfone (PES) membrane filters that differ in pore size (micropore and nanopore) to immobilize live and dead Brevibacillus laterosporus for AFM imaging.
POSITIVE	B. laterosporus was easily trapped by the microporous PES membrane, facilitating the successful AFM scanning of the bacterial surface ultrastructure.
NEGATIVE	In addition, B. laterosporus strongly attached  to the nanoporous membranes and withstood the pulling forces exerted by the AFM tip during scanning.
POSITIVE	Significant antibacterial effect was observed against Klebsiella pneumonia and Proteus vulgaris with MIC's of 12.5 µg/mL each.
POSITIVE	These bridges, which are essential for RumC's antibiotic properties against human pathogens such as Clostridium perfringens, define two hairpin domains giving this sactipeptide (sulfur-to-α-carbon thioether-containing peptide) an unusual architecture among natural products.
NEGATIVE	Complete Genome Sequences of Four Streptococcus canis Strains Isolated from Dogs  in South Korea.
NEGATIVE	The sequence types, antimicrobial resistance genes, and S. canis M-like protein alleles were characterized.
NEGATIVE	Focusing on the alternansucrase (ASR) from Leuconostoc citreum NRRL B-1355, a well-known glucansucrase catalyzing the synthesis of both high- and low-molar-mass alternans, we searched for structural traits in ASR that could be involved in the control of alternan elongation.
NEGATIVE	In this study, Lelliottia amnigena (Enterobacter amnigenus) (male insect) and Citrobacter freundii (female insect) bacteria species were detected from insect digestion structures.
NEGATIVE	Therefore, in experiment II with similar protocol, birds under LL and dLAN were fed on diet with or without Lactobacillus rhamnosus GG (LGG) supplement.
NEGATIVE	Structure of the O-specific polysaccharide of Aeromonas veronii bv.
NEGATIVE	The O-specific polysaccharide (OPS) was isolated from the lipopolysaccharide of Aeromonas veronii bv.
NEGATIVE	Sixteen enterococcal isolates (E. faecalis n=13, Enterococcus avium n=2, Enterococcus mundtii n=1) carried both cfr and optrA.
NEGATIVE	The co-existence of cfr and optrA in E. avium and E. mundtii has been identified previously.
NEGATIVE	Here, the crystal structure of hEtnppl in complex with pyridoxamine 5'-phosphate  was determined at 2.05 Å resolution by molecular replacement using the structure  of A1RDF1 from Arthrobacter aurescens TC1 (PDB entry 5g4i) as the search model.
NEGATIVE	From the personal samples, three of 131 bacterial species, Enterobacter cloacae, Staphylococcus aureus, and Yersinia enterocolitica are classified within Risk Group 2.
NEGATIVE	They were identified as Bacillus vallismortis and Bacillus aryabhattai.
NEGATIVE	Inoculation of C. pepo and X. strumarium with our isolates B. vallismortis and B. aryabhattai resulted in a reduction of the pollutant stress to the plants as shown by an increase both in aboveground and in root biomass.
NEGATIVE	The AgNPs showed inhibitory effects against selected gram positive (Staphylococcus epidermidis and Streptococcus pyogenes) and gram negative bacteria (Klebsiella pneumoniae, Serratia marcescens, and Pseudomonas pseudoalcaligenes).
NEGATIVE	Of these strains, 10 isolates, 2 Bifidobacterium pseudocatenulatum (B. pseudocatenulatum), 2 Bifidobacterium pseudolongum (B. pseudolongum), 2 Bifidobacterium bifidum (B. bifidum), 2 Bifidobacterium breve (B. breve), and 2 Bifidobacterium longum (B. longum), were shared between the mother-infant pairs.
NEGATIVE	Effects of benzoic acid, Bacillus coagulans and oregano oil combined supplementation on growth performance, immune status and intestinal barrier integrity of weaned piglets.
NEGATIVE	This experiment was conducted to investigate the effects of benzoic acid, Bacillus coagulans and oregano oil combined supplementation on growth performance, immune status and intestinal barrier integrity of piglets.
NEGATIVE	In a 26-d experiment, 25 piglets were randomly assigned to 5 treatments: 1) a basal diet, negative control (NC), 2) NC added with antibiotics, positive control (PC); 3) NC added with benzoic acid at 3,000 g/t and Bacillus coagulans at 400 g/t (AB); 4) NC added with benzoic acid at 3,000 g/t and oregano oil at 400 g/t (AO); 5) NC added with 3,000 g/t benzoic acid and Bacillus coagulans at 400 g/t and oregano oil at 400 g/t (ABO).
NEGATIVE	Results: A variety of microorganisms were detected by metagenomic sequencing in 19 specimens, including 3 cases of varicella zoster virus, 2 cases of Candida albicans, 1 case of Propionibacterium acnes and 1 case of Haemophilus parainfluenzae.
NEGATIVE	Bacillus circulans A19, Bacillus amyloliquefaciens A21, and Bacillus wiedmannii S18 shared a group of emitted alcohols and ketones when they were exposed to F. solani.
NEGATIVE	Complete genome sequencing and comparative genome characterization of the lignocellulosic biomass degrading bacterium Pseudomonas stutzeri MP4687 from cattle rumen.
NEGATIVE	We report the complete genome sequencing of novel Pseudomonas stutzeri strain MP4687 isolated from cattle rumen.
NEGATIVE	Various strains of P. stutzeri have been reported from different environmental samples including oil-contaminated sites, crop roots, air, and human clinical samples, but not from rumen samples, which is being reported here for the first time.
NEGATIVE	The genome of P. stutzeri MP4687 has a single replicon, 4.75 Mb chromosome and a G + C content of 63.45%.
POSITIVE	First hybrid complete genome of Aeromonas veronii reveals chromosome-mediated novel structural variant mcr-3.30 from a human clinical sample.
NEGATIVE	Methylobacterium radiotolerans, isolated from another soil sample, showed a significant increase in biofilm formation when cocultured with K. adipata, but not with strain 32K.
POSITIVE	We also found that the culture supernatants of strains 32K and K. adipata accelerated the motility of strains ME121 and M. radiotolerans, wherein culture supernatant of K. adipata significantly increased the motility of M. radiotolerans, as compared to that by the culture supernatant of strain 32K.
NEGATIVE	We found that the samples from atherosclerotic patients in both cohorts were depleted in Bacteroides xylanisolvens, Odoribacter splanchnicus, Eubacterium eligens, Roseburia inulinivorans, and Roseburia intestinalis.
NEGATIVE	Nine bacterial species, Pseudomonas aeruginosa CCC-IOB1, Pseudomonas balearica CCC-IOB3, Pseudomonas stutzeri CCC-IOB10, Citrobacter youngae CCC-IOB9, Petrotoga mobilis CCC-SPP15, Enterobacter roggenkampii CCC-SPP14, Enterobacter cloacae CCC-APB1, Cronobacter sakazakii CCC-APB3, and Shewanella chilikensis CCC-APB5 were isolated from corrosion products and identified based on 16S rRNA gene sequence.
NEGATIVE	The susceptibility rates to antimicrobials of Escherichia coli, Acinetobacter baumannii, Klebsiella  pneumoniae, Pseudomonas aeruginosa, Staphylococcus aureus, Enterococcus faecium,  and Enterococcus faecalis were analyzed by FI and TI, respectively.
NEGATIVE	Results: The numbers of isolates by FI/TI were as follows: 1824/2692 E. coli, 480/1611 A. baumannii, and 662/1306 K. pneumoniae, and 407/953 P. aeruginosa for gram-negative bacteria and 649/1364 S. aureus, 211/313 E. faecium, and 323/394 E. faecalis for gram-positive bacteria.
NEGATIVE	LAB isolates were grouped in seven different clusters which were assigned to Lactobacillus casei, Pediococcus pentosaceus, Lactobacillus plantarum, Weissella paramesenteroides, Lactobacillus rhamnosus, Lactococcus lactis, and Lactococcus garvieae.
NEGATIVE	During the study period, 7 of 737 test results were considered false-positives: 4 children with chronic medical conditions, 1 Mycobacterium lentiflavum lymphadenitis, 1 infant born to a mother with pulmonary tuberculosis, and 1 child exposed to a noninfectious tuberculosis patient.
POSITIVE	In this study, the in-depth  mechanism investigation for PHA-mediated denitrification based on the jointly applied transcriptomic, proteomic and Western Blotting techniques was performed on a model denitrifier, Pseudomonas stutzeri.
POSITIVE	Results showed that PHA dramatically fostered the growth of Pseudomonas stutzeri, resulting in improved nitrate removal efficiency from 32.8% to 45.8%.
POSITIVE	Metabolic Engineering and Adaptive Evolution of Clostridium beijerinckii To Increase Solvent Production from Corn Stover Hydrolysate.
NEGATIVE	In this study, we engineered the pentose pathway of Clostridium beijerinckii NCIMB 8052, which was then subjected to adaptive laboratory evolution in the gradient mixture of synthetic medium and pretreated corn stover enzymatic hydrolysate (CSH) prepared according to the National Renewable Energy Laboratory (NREL) standard.
NEGATIVE	Activity of α-amylase, copies of protozoa, Ruminococcus albus and Butyrivibrio fibrisolvens and serum glucose, total protein, albumin and glutathione peroxidase were higher for SS, MCSS and HCSS than for control and LCSS.
NEGATIVE	We found that the samples from atherosclerotic patients in both cohorts were depleted in Bacteroides xylanisolvens, Odoribacter splanchnicus, Eubacterium eligens, Roseburia inulinivorans, and Roseburia intestinalis.
NEGATIVE	Furthermore, it was  observed that the blood samples obtained at T1included Streptococcus viridans, Streptococcus oralis, Streptococcus mutans, and Staphylococcus aereus growth, respectively, in 4 patients from Group 1 while Streptococcus salivarius growth was observed in 1 patient from Group 3 in addition to Streptococcus mitis growth  in 1 patient from Group 4.
NEGATIVE	Bacteroides fragilis induced IL-33 only under polymicrobial (pB) conditions.
NEGATIVE	PD-1+ expression was  lowest with either monomicrobial Bacteroides fragilis or Bacteroides fragilis predominant polymicrobial context.
NEGATIVE	Conversely Bacteroides fragilis exposure induced a distinct PD-1-high subpopulation.
NEGATIVE	Among polymicrobial conditions, Bacteroides fragilis predominant (pB) and Lactobacillus acidophilus predominant (pL) increased BTLA+ expression.
NEGATIVE	DNA methylation was most increased in response to Clostridium perfringens in monomicrobial and in response to Bacteroides fragilis in polymicrobial conditions.
POSITIVE	Bacteroides fragilis induced a T-cell phenotype consistent with potential long-term immune recovery.
NEGATIVE	Furthermore, lipopeptides revealed activity towards selected bacteria of potential concern in artificial insemination like Trueperella pyogenes, Alcaligenes faecalis, Pseudomonas aeruginosa (not C16-KKK-NH2), Pasteurella sp.,  Providencia stuartii, Escherichia coli (not C16-KKKK-NH2) and Streptococcus porcinus (not C16-KKKK-NH2).
POSITIVE	Hetiamacin E (1) showed strong antibacterial activities against methicillin-sensitive and resistant Staphylococcus epidermidis at 2-4 µg/mL, and methicillin-sensitive and resistant Staphylococcus aureus at 8-16 µg/mL.
NEGATIVE	Transposon Insertion Site Sequencing of Providencia stuartii: Essential Genes, Fitness Factors for Catheter-Associated Urinary Tract Infection, and the Impact of Polymicrobial Infection on Fitness Requirements.
NEGATIVE	Providencia stuartii is a common cause of polymicrobial catheter-associated urinary tract infection (CAUTI), and yet literature describing the molecular mechanisms of its pathogenesis is limited.
NEGATIVE	P. stuartii strain BE2467 carries 4,398 genes, 521 of which were identified as essential for growth in laboratory medium  and therefore could not be assessed for contribution to infection.
NEGATIVE	Infection-specific phenotypes validated 6/7  (86%) mutants during direct cochallenge with wild-type P. stuartii and 3/5 (60%)  mutants during coinfection with P. mirabilis, for a combined validation rate of 9/12 (75%).
POSITIVE	Tn-Seq therefore successfully identified genes that contribute to fitness of P. stuartii within the urinary tract, determined the impact of coinfection on fitness requirements, and added to the identification of a collection of genes that may contribute to fitness of multiple urinary tract pathogens.IMPORTANCE Providencia stuartii is a common cause of polymicrobial catheter-associated urinary tract infections (CAUTIs), particularly during long-term catheterization.
NEGATIVE	Using transposon insertion site sequencing (Tn-Seq), we performed  a global assessment of P. stuartii fitness factors for CAUTI while simultaneously determining how coinfection with another pathogen alters fitness requirements.
POSITIVE	This approach provides four important contributions to the field: (i) the first global estimation of P. stuartii genes essential for growth in laboratory medium, (ii) identification of novel fitness factors for P. stuartii colonization of the  catheterized urinary tract, (iii) identification of core fitness factors for both single-species and polymicrobial CAUTI, and (iv) assessment of conservation of fitness factors between common uropathogens.
NEGATIVE	Mutation analysis showed that OXCmm shared the same active sites with the OXC from Oxalobacter formigenes.
NEGATIVE	Recombinant expression and molecular engineering of the keratinase from Brevibacillus parabrevis for dehairing performance.
NEGATIVE	Temporal and spatial Mycobacterium bovis prevalence patterns as evidenced in the  All Wales Badgers Found Dead (AWBFD) survey of infection 2014-2016.
NEGATIVE	The M. bovis isolates  from badgers tended to be similar to the genotypes of cattle in the same area, except in the Low TB Area.
NEGATIVE	Oral Administration of Flavonifractor plautii Strongly Suppresses Th2 Immune Responses in Mice.
NEGATIVE	The bacterium Flavonifractor plautii (FP), which is found in human feces, has been reported to participate in catechin metabolism in the gut, but this bacterium's effects on immune function are unclear.
NEGATIVE	The aim of this study was to determine the prevalence of vaginal infections of C. albicans, G. vaginalis, and T. vaginalis among women in the locality of Dschang,  West Region of Cameroon.
NEGATIVE	Two hundred and fifty-six (256) women (25.57%) were infected with C. albicans, and 171 (17.08%) with G. vaginalis.
NEGATIVE	Ninety-five (9.49%) were infected with both C. albicans and G. vaginalis, 2 (0.20%) with C. albicans and T. vaginalis, and 1 (0.1%) with G. vaginalis and T. vaginalis.
NEGATIVE	[Epub ahead of print]  Leclercia adecarboxylata isolates in a tertiary-care hospital: A propos of the first case of prosthetic joint infection.
NEGATIVE	[Epub ahead of print]  Influence of Shigella flexneri 2a O antigen acetylation on its bacteriophage Sf6  receptor activity, and bacterial interaction with human cells.
NEGATIVE	Shigella flexneri is a major causative agent of bacillary dysentery in developing countries where serotype 2a2 is the prevalent strain.
NEGATIVE	To date, approximately 30 serotypes have been identified for S. flexneri and the major contribution to the  emergence of new serotypes is chemical modifications of the lipopolysaccharide (LPS) component O antigen (Oag).
POSITIVE	Glucosylation, O-acetylation and phosphoethanolamine (PEtN) modifications increase the Oag diversity providing benefits to S. flexneri LPS Oag acts as a primary receptor for bacteriophage Sf6, which only infects a limited range of S. flexneri serotypes (Y, X).
NEGATIVE	Therefore, a set of isogenic strains [based on S. flexneri 2457T (2a2)] with deletions of different Oag modification genes (oacB, oacD and gtrII) that resemble different naturally occurring serotype Y and 2a strains was created.
POSITIVE	The impact of these Oag modifications on S. flexneri sensitivity to Sf6 and the pathogenesis-related properties were then compared.
POSITIVE	Lastly, we revealed two new serotype conversions for S. flexneri thereby contributing to understanding the evolution of this important human pathogen.Importance The emergence of antibiotic resistance strains and lack of efficient vaccines have made Shigella a priority organism for the World Health Organisation (1).
NEGATIVE	LPS Oag is the most variable part of LPS due to chemical modifications and is the target of bacteriophage Sf6  (S. flexneri-specific).
POSITIVE	We dissected the evolution of S. flexneri serotype Y to 2a2, which revealed a new role for a gene acquired during serotype conversion and furthermore identified new specific forms of LPS receptor for Sf6.
NEGATIVE	Streptococcus agalactiae (group B streptococcus, GBS) is a major cause of infections in newborns, pregnant women, and immunocompromised patients.
NEGATIVE	transferred Bifidobacterium gallinarum and Bifidobacterium saeculare to Bifidobacterium pullorum as B. pullorum subsp.
NEGATIVE	gallinarum and B. pullorum subsp.
NEGATIVE	However, we found that the genome (GenBank/ENA/DDBJ accession number JGZJ01000000) of B. pullorum used by Nouioui et al.
NEGATIVE	in the dDDH analysis cannot represent B. pullorum.
NEGATIVE	So, the taxonomic relationship between B. gallinarum, B. saeculare and B. pullorum should be re-examined.
NEGATIVE	B. pullorum DSM 20433T had 88.7-89.0 % average nucleotide identity (ANI) values and 37.5-38.0 % dDDH values  to the type strains of B. gallinarum and B. saeculare, respectively, less than the threshold for species demarcation, confirming that B. pullorum represents a different species from B. gallinarum and B. saeculare.
NEGATIVE	On the basis of the results presented here, (i) B. gallinarum and B. saeculare should not be transferred to B. pullorum; (ii) we propose B. saeculare Biavati et al.
NEGATIVE	Development of Bacterial Spore Pouches as a Tool to Evaluate the Sterilization Efficiency-A Case Study with Microwave Sterilization Using Clostridium sporogenes and Geobacillus stearothermophilus.
NEGATIVE	In this study, novel spore pouches were developed using mashed potato as a food model inoculated with either Geobacillus stearothermophilus or Clostridium sporogenes spores.
NEGATIVE	Inactivation equivalent to of 1-2 Log CFU/g and >6 Log CFU/g for Geobacillus stearothermophilus and Clostridium sporogenes spores, respectively was obtained on the cold spots using R-121, which comprised of a total processing time of 64.2 min.
NEGATIVE	The dominant organisms isolated from local wounds were Morganella morganii (11/36) and Enterococcus faecalis (25/36).
NEGATIVE	Morganella morganii and Enterococcus faecalis were dominant in local wound swabs of such cases.
NEGATIVE	Moreover, pathogenic bacteria such as Enterococcus cecorum and Escherichia coli were more abundant in immediate post-molting hens than in pre-molting hens.
NEGATIVE	Complete Genome Sequence of Lactobacillus harbinensis Strain NSMJ42, Isolated from Makgeolli, a Traditional Korean Alcoholic Beverage.
NEGATIVE	Shiga toxins (Stxs) expressed by the enterohaemorrhagic Escherichia coli and enteric Shigella dysenteriae 1 pathogens are protein synthesis inhibitors.
NEGATIVE	Draft Genome Sequence of Adlercreutzia equolifaciens IPLA 37004, a Human Intestinal Strain That Does Not Produce Equol from Daidzein.
NEGATIVE	Most equol producers belong to the family Coriobacteriaceae, which includes species such as Adlercreutzia equolifaciens Here, we report the draft genome sequence of A. equolifaciens IPLA 37004, a human isolate that does not produce equol.
NEGATIVE	First reported human bloodstream infection with Vagococcus lutrae.
NEGATIVE	Vagococcus lutrae belongs to the Vagococcus genus; it is possible to isolate vagococci from marine hosts, contaminated food and soil.
NEGATIVE	The rpoB gene sequence was used as the gold standard method and identified Klebsiella pneumoniae (n = 40), Klebsiella oxytoca (n = 9), Raoultella ornithinolytica (n = 2), and Raoultella planticola (n = 2).
NEGATIVE	Author information:  (1)Uniformed Services University of the Health Sciences (2)Uniformed Services Un of the Health Sc  Arcanobacterium haemolyticum is a gram-positive, facultative anaerobic, branching bacillus.
NEGATIVE	Today, infections by A. haemolyticum are rare but most commonly cause pharyngitis in adolescents and young adults or skin and soft-tissue infections in immunocompromised populations.
NEGATIVE	Though cases of systemic infections such as meningitis or bacteremia are uncommon, A. haemolyticum should remain on the differential to enable the early recognition, management, and treatment of disease associated with the pathogen.
NEGATIVE	Results: In animals treated with both vancomycin and Salmonella, the levels of segmented filamentous bacteria (SFB) increased while Akkermansia muciniphila and  Faecalibacterium prausnitzii decreased.
NEGATIVE	clusters XIV, IV, and F. prausnitzii significantly  decreased, decreasing Foxp3 and increasing Rorγt mRNA expression.
NEGATIVE	clusters XIV, IV, A. muciniphila, F. prausnitzii and Foxp3 gene expression in GALT.
NEGATIVE	Polymicrobial and rare pathogen wound infections (Acinetobacter junii, Aeromonas  sobri, et al) were common in MBC due to sterility breech.
NEGATIVE	The most frequently NTM identified were Mycobacterium avium (24.6%) and Mycobacterium fortuitum (10.1%).
NEGATIVE	Only one bacterium belonging to the Actinobacteria phylum, the Bifidobacterium bifidum, was present.
POSITIVE	This finding, in combination with its antibacterial activity  against P. larvae, highlights this novel isolate as a potential natural preserving agent against AFB.
NEGATIVE	Its oriC sequence has  the same directionality as S. epidermidis RP62A, S. carnosus, S. haemolyticus, S. saprophyticus and is inverted in comparison to Staphylococcus aureus and S. epidermidis ATCC 12228.
NEGATIVE	The most commonly isolated bacterial species were Bacillus subtilis and Lactobacillus murinus.
NEGATIVE	Isolation, Characterization and Chemical Synthesis of Large Spectrum Antimicrobial Cyclic Dipeptide (l-leu-l-pro) from Streptomyces misionensisV16R3Y1 Bacteria Extracts.
NEGATIVE	Our study was carried out with the goal of isolating and identifying antimicrobial secondary metabolites from Streptomyces misionensisV16R3Y1 isolated from the date palm rhizosphere (southern Tunisia).
NEGATIVE	This study indicates for the first time that  Streptomyces misionensis V16R3Y1 exhibits a broad spectrum of antimicrobial activities, produced cyclic dipeptide (l-Leucyl-l-Proline) and might have potential use as a natural agent for pharmaceutical and agri-food applications.
POSITIVE	3D-Cry toxins, produced by the entomopathogenic bacterium Bacillus thuringiensis, have been extensively mutated in order to elucidate their elegant and complex mechanism of action necessary to kill susceptible insects.
NEGATIVE	Multi-approach analysis to assess the chromium(III) immobilization by Ochrobactrum anthropi DE2010.
NEGATIVE	Ochrobactrum anthropi DE2010 is a microorganism isolated from Ebro Delta microbial mats and able to resist high doses of chromium(III) due to its capacity to tolerate, absorb and accumulate this metal.
NEGATIVE	Interdigital tinea pedis had a higher detection rate of Corynebacterium minutissimum and T. rubrum than the other forms.
NEGATIVE	Central retinal artery occlusion from Streptococcus gallolyticus endocarditis.
NEGATIVE	Blood cultures came positive for Streptococcus gallolyticus in the context of a bacteremia and native mitral valve vegetation identified on transoesophageal echocardiography.
NEGATIVE	Lactobacillus kefiranofaciens HL1, Lactobacillus kefiri HL2, Leuconostoc mesenteroides HL3, and Lactococcus lactis HL4 were isolated from Taiwanese kefir  grains and immobilized on pieces of sugar cane using adsorption.
NEGATIVE	Eighty efficient fructose-fermenting isolates,  obtained from fermenting cocoa pulp beans mass, were identified by 16S rRNA gene  sequencing as Pediococcus acidilactici (n = 52), Lactobacillus plantarum (n = 10), Pediococcus pentosaceus (n = 10), Bacillus subtilis (n = 4), and Leuconostoc pseudomesenteroides (n = 4).
NEGATIVE	Relative expression of genes associated with adhesion to bovine mammary epithelial cells by Streptococcus uberis.
NEGATIVE	Streptococcus uberis is one of the most prevalent environmental pathogens of bovine mastitis.
NEGATIVE	Biofilm growth ability by S. uberis looks to depend first upon the adherence of cells to a surface.
NEGATIVE	The S. uberis ability to adhere to mammary gland epithelia might provide an advantage to colonize the lactating mammary gland.
NEGATIVE	The objectives of this study were (a) to select S.uberis strains according to their ability to form biofilm, (b) to determine adherence to and internalization into MAC-T cells and (c) to investigate the expression profile adherence genes in these S. uberis strains.
NEGATIVE	In conclusion, we did not find a single profile of relative expression because the relative expression levels of each gene differed depending on the strain and the co-culture stage of S. uberis cells from which RNA was obtained.
NEGATIVE	The strip specifically detected serotypes 1, 2, and 10 R. anatipestifer strains and showed no cross-reaction with Escherichia coli, Salmonella enterica, and Pasteurella multocida strains.
NEGATIVE	The opportunistic bacterial pathogens isolated from immunocompromised patients suffering with different respiratory infections were identified as Staphylococcus aureus, Enterobacter xiangfangensis, Bacillus licheniformis, Escherichia fergusonii, Acinetobacter pittii, Pseudomonas aeruginosa, Aeromonas enteropelogenes and Proteus mirabilis.
NEGATIVE	strains (Bacillus subtilis DSM 32540 and Bacillus pumilus DSM 32539) on growth performance, diarrhea, intestinal health, microbiome, and systemic immunity of weaned pigs experimentally infected with an enterotoxigenic  Escherichia coli (ETEC).
NEGATIVE	However, no differences were observed  in growth performance and diarrhea score between PRO2 (Bacillus pumilus DSM 32539) and CON groups.
NEGATIVE	A 16S rRNA gene-based phylogenetic analysis revealed that M5HDSG1-1T had the greatest similarity to the type strain of Bacillus nealsonii DSM 15077T (99.1 %).
NEGATIVE	The average nucleotide identity values between M5HDSG1-1T and Bacillus nealsonii DSM  15077T and Bacillus circulans NBRC 13626T were 73.3 and 72.8 %, respectively.
NEGATIVE	The digital DNA-DNA hybridization values between M5HDSG1-1T and Bacillus nealsonii DSM 15077T and Bacillus circulans NBRC 13626T were 20.1 and 20.6 %, respectively, which were below the recommended thresholds.
NEGATIVE	Bacterial Endocarditis Caused by Actinomyces oris: First Reported Case and Literature Review.
NEGATIVE	We report a case of Actinomyces oris endocarditis in a 14-year-old boy who had a 2-week history of dyspnea on exertion without other constitutional signs.
NEGATIVE	The matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF MS) was compatible with Actinomyces oris.
NEGATIVE	Polymerase chain reaction testing revealed Tropheryma whipplei on feces, bursitis and articular fluid samples.
NEGATIVE	We found that dosing LPS (200,000 EU) increased the maximum specific growth rates of four ruminal bacterial species (Streptococcus bovis JB1, Succinivibrio dextrinosolvens 24, Lactobacillus ruminis RF1, and Selenomonas ruminantium HD4).
NEGATIVE	Complete Genome Sequence of Bifidobacterium adolescentis ZJ2, Isolated from a Centenarian in Anhui, China.
POSITIVE	[Epub ahead of print]  Interaction between Lactobacillus reuteri and periodontopathogenic bacteria using in vitro and in vivo (G. mellonella) approaches.
NEGATIVE	New therapies have been proposed for its treatment, including the use of probiotics such as Lactobacillus reuteri.
POSITIVE	The objective of this study was to evaluate the antimicrobial effects of L. reuteri: live, heat-killed, and culture filtrate (cell free supernatant), on periodontopathogenic bacteria (Fusobacterium nucleatum and Aggregatibacter actinomycetemcomitans) in vitro, as well as the in vivo survival curve, hemocyte  density, and microbial recovery using Galleria mellonella.
NEGATIVE	The treatment with the supernatant  increased the survival of larvae infected with F. nucleatum more than the treatment with live L. reuteri, and none of the treatments altered the survival of A. actinomycetemcomitans-infected larvae.
NEGATIVE	This study demonstrated that L. reuteri preparations exerted antimicrobial effects and increased the survival of G. mellonella infected by F. nucleatum, although only live L. reuteri was able to reduce the growth of A. actinomycetemcomitans in vitro.
POSITIVE	Integration of Genetic and Process Engineering for Optimized Rhamnolipid Production Using Pseudomonas putida.
POSITIVE	CS1 and Salinivibrio costicola SH3, and support ectoine synthesis under salinity stress.
NEGATIVE	CS1 whereas these variables should be adjusted at 56.95 h, 7.089 and 10.34%; on the same order regarding Salinivibrio costicola SH3.
NEGATIVE	Meanwhile, the incidence of Streptococcus pneumoniae and Streptococcus oralis infection were higher in the subjects above 60 years old than below.
POSITIVE	In addition, consumption of LCZ was responsible for the conversion of some participants from Prevotella copri/Faecalibacterium prausnitzii (PF) enterotype to Faecalibacterium prausnitzii/Bacteroides dorei (FB) enterotype and consistently increased the abundance of lactic acid bacteria in the gut.
NEGATIVE	Although traditionally considered treatable, the emergence of Neisseria gonorrhoeae resistance to antimicrobials is currently a serious problem.
NEGATIVE	The goal of this study was to evaluate the incidence and trends of antimicrobial resistance over the last 10 years in N. gonorrhoeae isolates from a Portuguese Centre.
NEGATIVE	METHODS: Laboratorial confirmed N. gonorrhoeae infections diagnosed between 2009  and 2018 were evaluated.
NEGATIVE	RESULTS: From 2009 to 2018, 440 cases of N. gonorrhoeae infection were diagnosed  in our center, with a significant yearly increase (p<0.05).
NEGATIVE	CONCLUSIONS: Antimicrobial resistance of N. gonorrhoeae appeared shortly after the introduction of antimicrobials.
NEGATIVE	In our population, N. gonorrhoeae remains highly susceptible to the antibiotics currently recommended for its treatment, whereas ciprofloxacin, azithromycin (in  monotherapy) and penicillin should be avoided as empirical treatment.
NEGATIVE	Lactobacillus rhamnosus GG (LGG) and Bifidobacterium animalis ssp.
NEGATIVE	isolate and a Staphylococcus cohnii isolate, respectively.
NEGATIVE	Through massive sequencing of 16S rRNA gene amplicons and data analysis using a novel permutation approach, we have detected decreased incidence of Blautia species, especially Blautia luti and B. wexlerae, in the gut microbiota of obese children, which was even more pronounced in cases with both obesity and insulin resistance.
NEGATIVE	B. luti and B. wexlerae were also shown to exert an anti-inflammatory effect in peripheral blood mononuclear cell cultures in vitro, compared to non-obesity-associated species.
NEGATIVE	We suggest that the depletion of B. luti and B. wexlerae species in the gut ecosystem may occur in cases of obesity and contribute to metabolic inflammation  leading to insulin resistance.IMPORTANCE Child obesity constitutes a risk factor  for developing insulin resistance which, if sustained, could lead to more severe  conditions like type 2 diabetes (T2D) in adulthood.
NEGATIVE	Our study identified previously unknown species whose depletion (Blautia luti and Blautia wexlerae) is associated with insulin resistance in obese individuals.
POSITIVE	One of the strain, Bifidobacterium adolescentis (B. adolescentis) CCFM1108 exhibited the most potent inhibition ability among all tested strains.
NEGATIVE	Correspondingly, B. adolescentis CCFM1108 supernatant disrupted plasma membrane integrity of the P. expansum mycelial and drastically reduced patulin production  in P. expansum.
NEGATIVE	The inhibitive effects of B. adolescentis CCFM1108 were also confirmed with three other P. expansum strains.
NEGATIVE	The active inhibitory properties  of Bifidobacterium strains, especially B. adolescentis CCFM1108, indicate that B. adolescentis can be potentially used as a novel bioagent to prevent or delay fungal spoilage on fruit.
NEGATIVE	Specifically, Eisenbergiella, Tyzzerella 4, and Lachnospiraceae NK4A136 were enriched in the GDM group, whereas Parabacteroides,  Megasphaera, Eubacterium eligens group, etc.
NEGATIVE	The YmdB protein regulates biofilm formation dependent on the repressor SinR in Bacillus cereus 0-9.
NEGATIVE	The B. cereus 0-9 genome also encodes a YmdB-like protein, which has measureable phosphodiesterase activity, and 72.35% sequence identity to YmdB protein of B. subtilis 168.
POSITIVE	In this work, we studied the function of YmdB protein and its encoding gene, ymdB, in B. cereus 0-9.
POSITIVE	Deletion of ymdB gene stimulates the swarming motility of B. cereus 0-9, and enhances it to travel outward, but reduces its ability to form complex spatial structures on the solid surface of MSgg plates.
NEGATIVE	Hence, it is considered that YmdB plays a key role in biofilm formation, and this effect is likely achieved through the function of repressor SinR in B. cereus 0-9.
